search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Disability care software in australia or newzealand,PwC Australia,https://www.pwc.com.au/,PwC Australia brings together people  business  technology and ideas to build trust in society and solve important problems.,pwc,"['28 Sydney Ave Forrest ACT 2603', 'https://www.pwc.com.au/indigenous-consulting.html']","['privacy.officer@au.pwc.com', 'https://www.pwc.com.au/contact-us/privacy-policy.html']","['+61 2 8266 0000', 'https://www.crunchbase.com/organization/pwc-australia']","['other pwc australia websites', 'covid-19 pwc australia modelling', 'pwc australia proportion', 'new businesses', 'australian businesses', 'eligible businesses', 'australia', 'other businesses', 'eligible small businesses', 'pwc australia digital']","[['Tom Seymour', 'CEO'], 'https://www.pwc.com.au/firm-executive/tom-seymour.html']","[['Accounting'], 'https://www.crunchbase.com/organization/pwc-australia']","['2010', 'https://www.crunchbase.com/organization/pwc-australia']","['73M', 'https://app.avention.com/company/db88adbe-dc20-3389-970d-0fa6ef71d232#report/company_summary']",None,"[' Australia, Isabela, Philippines', 'https://www.crunchbase.com/organization/pwc-australia']","['896', 'https://app.avention.com/company/db88adbe-dc20-3389-970d-0fa6ef71d232#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/pwc-australia']",0.25,0.25,0.0,0.0,0.125
medical equipment management companies in australia or newzealand,Home | ParagonCare,https://paragoncare.com.au/,Paragon Care's business is focused on four specialty pillars: Specialty ... care and medical supplies distributor in Australia  New Zealand and the South Pacific.,paragoncare,"['LEVEL 4 96-100 ALBERT ROAD SOUTH MELBOURNE, VICTORIA, 3205 Australia', 'https://www.dnb.com/business-directory/company-profiles.paragon_care_group_australia_pty_ltd.becead35b725ede82f6ced41e0381ed5.html']","['info@paragoncare.com.au', 'https://www.crunchbase.com/organization/paragon-care']","['+61 8 9478 4600', 'https://paragoncare.com.au/contact']","['product portfolio paragon care', 'australia paragon care', 'paragon care diagnostics', 'paragon care ltd', 'paragon care group', 'paragon care acquires', 'paragon care’s', 'pgc paragon care', 'paragon care covering', 'pgc.ax paragon care']","['Mark Simari', 'founder(s)', 'https://www.crunchbase.com/organization/paragon-care']","[['Health Care'], 'https://www.crunchbase.com/organization/paragon-care']","['1996', 'https://www.crunchbase.com/organization/paragon-care']","['$163.52 million USD', 'https://www.dnb.com/business-directory/company-profiles.paragon_care_group_australia_pty_ltd.becead35b725ede82f6ced41e0381ed5.html']","['$0', 'https://www.owler.com/company/paragoncare']","[' Scoresby, Victoria, Australia', 'https://www.crunchbase.com/organization/paragon-care']","['508', 'https://www.owler.com/company/paragoncare']","['Public', 'https://www.crunchbase.com/organization/paragon-care']",0.375,0.25,0.75,0.0,0.34375
Dental management software in australia or newzealand,Business Software & Solutions | MYOB Australia,https://www.myob.com/au,Business software that sets you up for success. Try our online accounting solutions for tax  payroll  super and invoicing. Your 30-day free trial is waiting._Business software that sets you up for success. Try our online accounting solutions for tax  payroll  super and invoicing. Your 30-day free trial is waiting._Business software that sets you up for success. Try our online accounting solutions for tax  payroll  super and invoicing. Your 30-day free trial is waiting.,myob,"['Level  3 , 235 Springvale Road, Glen Waverley VIC 3150', 'https://www.myob.com/au/legal-disclaimer']","['cap@myob.com', 'https://www.crunchbase.com/organization/myob']","['+61 8 6465 9899', 'https://www.myob.com/au/apps/products/easeesell']","['myob myob invoices', 'myob portal myob', 'myob myob invoices app', 'myob see myob advisor', 'myob myob practice federal budget', 'bigger business news myob', 'myob accountright software', 'myob accountright', 'myob payby myob banklink accounting practices', 'myob products']","[['Greg Ellis', 'CEO'], 'https://au.linkedin.com/in/gellis']","[['AccountingCRMHuman ResourcesSoftwareTraining'], 'https://www.crunchbase.com/organization/myob']","['1991', 'https://www.crunchbase.com/organization/myob']","['$273.03 million USD', 'https://www.dnb.com/business-directory/company-profiles.myob_australia_pty_ltd.8d9d7b9fbb3a9ba5.html']",None,"[' Glen Waverley, Victoria, Australia', 'https://www.crunchbase.com/organization/myob']",None,"['Public', 'https://www.crunchbase.com/organization/myob']",0.25,0.25,0.25,0.0,0.1875
NDIA funding software in australia or newzealand,Autism Swim,https://autismswim.com.au/,Autism Swim (AS) are international Water Safety and Swimming Specialists for individuals with Autism Spectrum Disorder (ASD) and other abilities._Autism Swim are national Water Safety and Swimming Specialists for individuals with Autism Spectrum Disorder (ASD).,autismswim,"['SYDNEY2000New South WalesAustralia', 'https://opencorporates.com/companies/au/635523170']","['artnerships@autismswim.com.au', 'https://autismswim.com.au/support-us/']","['+61423 080 675', 'https://autismswim.com.au/2018/04/27/trishs-swimming-instructor-journey/']","['autism swim lessons', 'autism swim participants', 'autism swim approved', 'other autism', 'such personal information', 'view autism swim', 'personal information', 'autism swim water safety app', 'autism swim approved instructors', 'such information']","[['Erika Gleeson', 'CEO'], 'https://au.linkedin.com/in/erika-gleeson-72524849']","['Education, Healthcare', 'from_classification_model']","['14 August 2019', 'https://opencorporates.com/companies/au/635523170']",None,None,"['Australia', 'https://opencorporates.com/companies/au/635523170']",None,"['Australian Public Company, Limited By Guarantee', 'https://opencorporates.com/companies/au/635523170']",0.0,0.25,0.0,0.0,0.0625
Software for NDIS service providers in australia or newzealand,Rype – Workflow & Cloud Integration Specialists,https://rype.com.au/,At The Rype Group we're all about helping you improving productivity  efficiencies ... Rype Group; Offices around Australia; 1300 420 026; hello@rype.com.au.,rype,"['LEVEL 4 240 QUEEN STREET BRISBANE CITY, QUEENSLAND, 4000 Australia', 'https://www.dnb.com/business-directory/company-profiles.the_rype_group_pty_ltd.ecf6ca00624069e3f3fe9168e61ccf33.html']","['hello@rype.com.au', 'https://rype.com.au/']","['1300 420 026', 'https://rype.com.au/']","['rype group', 'inventory management system', 'business collaboration', 'practice solution', 'existing solutions', 'solutions', 'project management', 'solution evaluation', 'xero practice manager', 'warehouse management']","[['Tony Chadwick', 'founder'], 'http://www.crn.com.au/news/insolvent-google-partners-customers-acquired-438989']","['IT - Software, Transport', 'from_classification_model']","['19 June 2015', 'https://opencorporates.com/companies/au/606537035']","['$2.04 million USD', 'https://www.dnb.com/business-directory/company-profiles.the_rype_group_pty_ltd.ecf6ca00624069e3f3fe9168e61ccf33.html']",None,"['Australia', 'https://opencorporates.com/companies/au/606537035']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.the_rype_group_pty_ltd.ecf6ca00624069e3f3fe9168e61ccf33.html']",0.0,0.25,0.0,0.0,0.0625
NDIA funding software in australia or newzealand,Farah News Online,https://www.farah.net.au/,آخر الأخبار العربية والعالمية،الشرق الاوسط، استراليا ولبنان، اخبارالجاليةالعربية،اخبار عاجلة، مقالات سياسية  اجتماعية،ثقافيةوفنية،صور، فيديو،اخبار 24,farah.net.au,"['Unit  1 , 459 Morphett Street, Adelaide, SA 5000', 'https://www.farah.net.au/?mod=news&id=63623']",None,"['+612-62957378', 'https://www.farah.net.au/?mod=news&id=63623']","['، في', 'في استراليا،', '، أو في أي', 'مستقل، تاسس في', 'ldeالذي سيعقد في بيروت في مركز', 'في', 'في ما هي', 'في أستراليا للمشاركة الكثيفة في هذا المؤتمر', 'بالأكاديمية بإصداراته في المعرض،', '| |']","[['GHASSAN FARAH', 'Owner'], 'https://www.dnb.com/business-directory/company-profiles.ghassan_farah.115bdb3d2e7b655cd6c2e45942bc140d.html']","['Finance and insurance, IT - Software', 'from_classification_model']","[' 8 November 2017', 'https://opencorporates.com/companies/au/622722392']","['$406,800 USD', 'https://www.dnb.com/business-directory/company-profiles.ghassan_farah.115bdb3d2e7b655cd6c2e45942bc140d.html']",None,"['Australia', 'https://opencorporates.com/companies/au/622722392']",None,"['Sole\xa0Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.ghassan_farah.115bdb3d2e7b655cd6c2e45942bc140d.html']",0.25,0.25,0.0,0.0,0.125
NDIS claim payment software in australia or newzealand,Google Sites: Sign-in,https://sites.google.com/,Access Google Sites with a free Google Account(for personal use) or G Suite account (for business use).,sites.google,None,None,None,None,"[['Shipra Mahindra ', 'Senior Product Manager_Xero'], 'from linkedin search google']","['Education, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Community care software in australia or newzealand,Epicor: Business Management Software to Fit Your Industry,https://www.epicor.com/,Epicor business management and ERP solutions are designed to meet the unique needs of your industry. Deploy in the cloud or on premises with expert guidance. Learn more.,epicor,None,"['cams@epicor.com', 'https://www.epicor.com/en-au/customers/new-now/quick-ways-to-improve-productivity-in-the-new-now/']","['+6102) 9927 6200', ['Epicor Software Corporation, phone', 'knowledge_panel']]","['epicor epicor', 'epicor university epicor', 'epicor videos epicor erp', 'epicor integrates epicor erp', 'epicor contact information epicor', 'epicor epicor partner network', 'epicor software corporation privacy policy epicor qms', 'epicor customers', 'epicor erp', 'other epicor customers']","[['Graeme Thomson - Snr', 'Managing_Director'], 'https://au.linkedin.com/in/graeme-thomson-0866b113']","['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,1.0,0.0,0.75,0.0,0.4375
Home care software in australia or newzealand,Home - ENGIE Australia and New Zealand,https://engie.com.au/,Power Purchase Agreements Partnering with Australian businesses to provide affordable  renewable energy through Power Purchase Agreements (PPAs) More Info Better Cities Together with governments and developers  we’re building smart communities of the future that will produce more energy than they consume More Info Energy Solutions We’re partnering with large businesses across Australia to increase their …,engie,"['Level  33 , Rialto South Tower, 525 Collins Street, Melbourne, Victoria 3000 Australia', 'https://engie.com.au/home/privacy-policy/']","['uke.peacocke@au.engie.com', 'https://engie.com.au/home/what-we-do/energy-solutions/solar-ppas/']","['+61 3 9617-8400', 'https://engie.com.au/home/privacy-policy/']","['integrated energy solutions engie', 'energy solutions', 'engie australia', 'innovative energy solutions', 'new energy', 'nz supermarkets energy efficiency solutions engie', 'engie new zealand', 'new energy options', 'renewable energy', 'household energy customers']","[['Augustin Honorat', 'CEO'], 'https://engie.com.au/news/new-appointment-chief-executive-officer/']","['Utilities, Mining, oil and gas', 'from_classification_model']","[' 9 September 1988', 'https://opencorporates.com/companies/au/007066855']","['$1.00 million USD', 'https://www.dnb.com/business-directory/company-profiles.engie_services_australia_pty_limited.cecb0424e24f825374cb50b41986f608.html']",None,"['Australia', 'https://opencorporates.com/companies/au/007066855']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.engie_services_australia_pty_limited.cecb0424e24f825374cb50b41986f608.html']",0.25,0.25,0.375,0.0,0.21875
NDIS claim payment software in australia or newzealand,Australian Information Security Awareness and Advisory ...,https://kirbyidau.com/,Contact. contact@kirbyIDau.com. Brisbane Queensland Australia. Advisory Services. Information Security Governance Risk and Compliance; Identity and ...,kirbyidau,None,None,None,"['australian information security incident reported', 'smh australian information security incident', 'l australian information security incident reported', 'l australian information security incident', 'australian information security incident', 'data breach |', 'security breach | zdnet incident', 'australian information security report', 'australian capital territory australian information security incident', 'security breach']","[['Steven Kirby ', 'Principal Advisor_kirbyIDau.com'], 'from linkedin search google']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
NDIS claim payment software in australia or newzealand,APM: Help to Find a Job_ Return to Work or Live More ...,https://apm.net.au/,If you want to find a job  return to work or live more independently  you're in the right place. APM is a trusted provider of job seeker programs  disability employment services  workplace health and home assessments to thousands of Australians every year.,apm.net.au,"['20 George Street Hornsby NSW 2077', 'https://apm.net.au/about-apm/find-us/hornsby-jobactive']","['web.enquiries@apm-uk.co.uk', 'https://apm.net.au/individuals/contact-us']","['+61 4 1982 3659', 'https://apm.net.au/individuals/contact-us']","['apm employment services apm job seekers', 'apm apm', 'apm employment services apm', 'apm renmark apm', 'apm renmark apm service locations', 'schizophrenia apm communities apm', 'apm people', 'apm disability employment services', 'apm works', 'apm hobart rewarding job ideas']","[['Michael Anghie', 'CEO'], 'https://apm.net.au/about-apm/about-apm/meet-the-apm-team']","['Healthcare, Education', 'from_classification_model']",None,"['$155.44 million USD', 'https://www.dnb.com/business-directory/company-profiles.advanced_personnel_management_international_pty_ltd.3bd833c431db12930ed5d945e5593d9e.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.advanced_personnel_management_international_pty_ltd.3bd833c431db12930ed5d945e5593d9e.html']",0.25,0.25,0.375,0.0,0.21875
Disability care software in australia or newzealand,Possability is a leader in disability services in Victoria and ...,https://possability.com.au/,Possability is a values-driven disability services provider. NDIS  accommodation? We give you the support you need  so you can pursue the life you want.,possability,"['8 -22 Patrick Street Stawell VIC 3380', 'https://possability.com.au/contact-us/']","['info@possability.com.au', 'https://possability.com.au/2020/07/coronavirus-update/']","['1300 067 067', 'https://possability.com.au/']","['oak possability services', 'disability support services', 'possability managing services', 'support services', 'other disability services organisations', 'oak possability executive', 'oak possability ceo', 'client service teams', 'newest disability respite service', 'disability services']","[['Roselynn Monomai ', 'Workforce Planner Manager_Possability ...'], 'from linkedin search google']","['Healthcare, Education', 'from_classification_model']","['22 April 2020', 'https://opencorporates.com/companies/au/640443394']",None,None,"['Australia', 'https://opencorporates.com/companies/au/640443394']",None,"['Australian Public Company, Limited By Guarantee', 'https://opencorporates.com/companies/au/640443394']",0.25,0.25,0.0,0.0,0.125
Community care software in australia or newzealand,Salesforce: We Bring Companies and Customers Together,https://www.salesforce.com/,Grow your business with the #1 CRM and cloud solution an all-in-one platform for Sales  Service  Marketing and more. Try it free with a 30-day trial today. ,salesforce,"['Level 12, Tower 3 Darling Park, 201 Sussex Street, Sydney NSW 2000 Australia', 'https://www.salesforce.com/au/?ir=1']","['sales@cloudmasons.com.au', 'https://www.crunchbase.com/organization/cloudmasons']","['+612-6272-1441', 'https://www.salesforce.com/kr/']","['de generación de', 'de la sécurité de nos', 'responsable de la protection de votre mot de passe', 'désactivation de la collecte de', 'auprès de l’autorité de', 'moyen de témoins de', 'de la limitation de l’accès', 'de confidentialité ou de sécurité', 'afronden van de cursus hebben de leerlingen de mogelijkheid', 'de supprimer entièrement de nos']","[['Pip Marlow', 'CEO'], 'https://www.salesforce.com/au/blog/authors/pip-marlow']","[['Cloud Data ServicesMobile AppsReal Estate'], 'https://www.crunchbase.com/organization/cloudmasons']","['2015', 'https://www.crunchbase.com/organization/cloudmasons']","['163k', 'https://app.avention.com/company/310d38c0-ec5f-3547-a235-44233a146881#report/company_summary']","['$138.1M', 'None']","[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/cloudmasons']","['1,250', 'None']","['Private', 'https://www.crunchbase.com/organization/cloudmasons']",0.25,0.25,0.0,0.0,0.125
Care management software in australia or newzealand,Loc8: Field service management software for small business,https://www.loc8.com/,Easily manage your Field service jobs  schedules  assets  quotes and invoices with our field service management software for small business.,loc8,"['Level  1 , 132 Gwynne St Cremorne VIC 3121', 'https://www.loc8.com/terms/']","['support@loc8.com', 'https://www.crunchbase.com/organization/loc8-com']","['+61-390147737', 'https://www.dnb.com/business-directory/company-profiles.loc8com_pty_ltd.72fe2b68311c896a71eecfec0e8d11da.html']","['field service management services', 'most field service business services', 'field service software business', 'field service businesses', 'field service software', 'field service management companies', 'many field service businesses', 'most field service business', 'various field service management software', 'field service software systems']","[['David Hodges', 'founder'], 'https://www.loc8.com/about/']","[['Customer ServiceIntellectual PropertySoftware'], 'https://www.crunchbase.com/organization/loc8-com']","['2011', 'https://www.crunchbase.com/organization/loc8-com']","['1M', 'https://app.avention.com/company/58deba24-0be2-3da7-9d66-de454a67bbe4#report/company_summary']",None,"[' Richmond, Victoria, Australia', 'https://www.crunchbase.com/organization/loc8-com']","['22', 'https://app.avention.com/company/58deba24-0be2-3da7-9d66-de454a67bbe4#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/loc8-com']",1.0,0.25,0.75,0.0,0.5
NDIS software in australia or newzealand,EAP Assist,https://eapassist.com.au/,EAP Assist is Australia's leading Employee Assistance Program providing immediate confidential work-based counselling services to enhance employee wellbeing,eapassist,"['TAYLORS LAKES3038VictoriaAustralia', 'https://opencorporates.com/companies/au/641834880']","['support@eapassist.com.au', 'https://eapassist.com.au/contact/64719-2/']","['1300-111-500', 'https://eapassist.com.au/ask-eap/']","['available mental health services', 'other mental health issues', 'mental health issues', 'good mental health', 'mental health conditions', 'common mental health issues', 'mental health concerns', 'high quality mental health information', 'complex mental health issues', 'other support services']","[['EAP Assist ', 'Employee Assistance Program_Eap ...'], 'from linkedin search google']","['Healthcare, Arts, entertainment and recreation', 'from_classification_model']","['18 June 2020', 'https://opencorporates.com/companies/au/641834880']",None,None,"['Australia', 'https://opencorporates.com/companies/au/641834880']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/641834880']",0.0,0.25,0.0,0.0,0.0625
