title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Little Grey Box: Travel Well,https://littlegreybox.net/,#TravelWell with YouTube videos and written guides by Australian couple  Phoebe and Matt. Award-winning travel bloggers  YouTubers and creatives.,littlegreybox.net,None,"['assistance@marketlend.com.au', 'https://www.crunchbase.com/organization/marketlend']","['+61 2 8006 6798', 'https://www.crunchbase.com/organization/marketlend']","['#igerspain #ig_spain #icu_spain', '#sea #', '#room #', 'find singapore zoo', 'great spots', 'great food', '#ibizaoldtown #daltvila', '#view', 'great views', 'local food spots']","['Leo Tyndall', 'founder(s)', 'https://www.crunchbase.com/organization/marketlend']","[['FinanceFinancial ServicesPeer to Peer'], 'https://www.crunchbase.com/organization/marketlend']","['2014', 'https://www.crunchbase.com/organization/marketlend']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/marketlend']",None,"['Private', 'https://www.crunchbase.com/organization/marketlend']",0.0,0.0,0.0,0.0,0.0
シリウスグループ,http://kk-sirius-recruit.com/,,kk-sirius-recruit,"['17 - 23 Bryant Street Padstow, NEW SOUTH WALES, 2211 Australia', 'https://www.dnb.com/business-directory/company-profiles.kk_consultants_pty_ltd.5f2e3a4f9b27c439.html']","['info@kk-sirius.co.jp', 'http://kk-sirius-recruit.com/company']","['+61-295998829', 'https://www.dnb.com/business-directory/company-profiles.kk_consultants_pty_ltd.5f2e3a4f9b27c439.html']","['！ 入社したての頃は、お客様も業者様も自分より年上の方が多く、相手に対して失礼のないように、敬語やあいさつと言った基本的なマナーに気を付けることが大変でした。それに加えて住宅業界の知識も無く、わからないことだらけだったので毎日失敗ばかりしていました。それでも周りの先輩方が根気よく教えてくださり、成長することができました。', '。 年1回開催し、昨年は沖縄に行きました。 お客様のお家が完成し、お客様が想像していたもの以上のものが出来上がった際、感激しているお客様の表情を見ている時に、とてもやりがいを感じます。特に私が初めに担当させていただいたお客様のお家が完成した際は、これまでにない達成感を味わうことができました', '分からないことは必ずメモを取り、なるべくその日のうちに解決できるようにしています。分からないことを見つけることも、新人にとってはとても大切な仕事の一つです。', '初心は忘れず、じっくりお客様のご要望をお聞きして、プランに活かしたいと心がけています。', '営業アシスタントとして働いています。', '色々ありますが、「子供手当」はとても有難いです。', '多くの出会いから学ばせていただき、何より人生の幅も広がります。', 'メリハリがしっかりしています。和むときは和む、集中するときは集中する。', '。 岩手県一関市', '。 まずは、会社説明会へ']","[['KODA KASSIRA', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.kk_consultants_pty_ltd.5f2e3a4f9b27c439.html']","['Arts, entertainment and recreation, Manufacturing', 'from_classification_model']",None,"['$23.15 million USD', 'https://www.dnb.com/business-directory/company-profiles.kk_consultants_pty_ltd.5f2e3a4f9b27c439.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.kk_consultants_pty_ltd.5f2e3a4f9b27c439.html']",0.0,0.0,0.0,0.0,0.0
Franchise Advisory Centre | Advice & Training for Franchising,https://www.franchiseadvice.com.au/,Franchise education for potential and existing franchisors and franchisees  plus specialist one-on-one advice. Attend a workshop  or book a consultation.,franchiseadvice,"['80 King William St Adelaide 5000 NEW ZEALAND', 'https://www.franchiseadvice.com.au/managing-franchise-resales/']","['reception@paramountbb.com.au', 'https://www.crunchbase.com/organization/paramountbb']","['+61 7 3716 0400', 'https://www.franchiseadvice.com.au/franchise-list-05-february-2021/']",None,"[['Gregory Vincent LONGSTAFF', ' director'], 'https://opencorporates.com/companies/nz/3575453']","[['AssociationE-Commerce'], 'https://www.crunchbase.com/organization/paramountbb']","['Mar 4, 2010', 'https://www.crunchbase.com/organization/paramountbb']",None,None,"[' Docklands, Victoria, Australia', 'https://www.crunchbase.com/organization/paramountbb']",None,"['Private', 'https://www.crunchbase.com/organization/paramountbb']",0.25,0.25,0.0,0.0,0.125
Swimming Club | Sydney University_ Darlington | Lessons ...,https://www.sydneyuniswimmingclub.com/,Sydney University Swimming Club offers a range of squads for young people who love to swim – from children just graduating from the Learn to Swim Squad Program through to serious Age Group and Open/Varsity Competitors. ,sydneyuniswimmingclub,"['85 Darlington Rd, Darlington NSW 2008', 'https://www.sydneyuniswimmingclub.com']","['dev@macrovue.com.au', 'https://www.crunchbase.com/organization/macrovue']","['+612 9351 4960', 'https://www.sydneyuniswimmingclub.com']","['sydney uni swimming', 'calendar sydney university swimming club', 'sydney university swimming club handbook', 'sydney uni swimming programs', 'sydney uni swimming programs manager', 'sydney uni sport', 'sydney uni', 'sydney uni swim school', 'state age squad', 'sydney uni caters']","['Dev Sinha', 'founder(s)', 'https://www.crunchbase.com/organization/macrovue']","[['AccountingBig DataFinanceSmall and Medium Businesses'], 'https://www.crunchbase.com/organization/macrovue']","['Jun 1, 2014', 'https://www.crunchbase.com/organization/macrovue']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/macrovue']",None,"['Private', 'https://www.crunchbase.com/organization/macrovue']",0.25,0.25,0.0,0.0,0.125
Products - Smartscaff,https://www.smartscaff.com.au/products/,,smartscaff,"['1 Faigh St Mulgrave, VICTORIA, 3170 Australia', 'https://www.dnb.com/business-directory/company-profiles.smartscaff_pty_ltd.328277d475add436585d76e7f032bce9.html']",None,"['1300 772 233', 'https://www.smartscaff.com.au/contact/']","['high quality scaffolding', 'premium quality steel scaffold board', 'new scaffold', 'steel boards', 'quality', 'scaffolding products', 'a high quality galvanised steel scaffold board', 'new products', 'melbourne sydney products email protection services', 'scaffold']","[['Savio Noronha ', 'Berwick_ Victoria_ Australia_LinkedIn'], 'None']","['Manufacturing, IT - Software', 'from_classification_model']",None,"['$12.78 million USD', 'https://www.dnb.com/business-directory/company-profiles.smartscaff_pty_ltd.328277d475add436585d76e7f032bce9.html']",None,None,None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.smartscaff_pty_ltd.328277d475add436585d76e7f032bce9.html']",0.75,0.25,0.75,0.0,0.4375
Valentine Swim School - Newcastle | First Lesson Free,https://www.valentineswimschool.com.au/,"At Valentine Swim School in Newcastle your first swimming lesson or aqua fitness class is free! Simply contact us today to book your place.

",valentineswimschool,"['1A St Johns Dr, Croudace Bay NSW 2280', ['Valentine Swim School, address', 'knowledge_panel']]","['bh@hotdoc.com.au', 'https://www.crunchbase.com/organization/hotdoc']","['+612 4946 6199', 'https://www.valentineswimschool.com.au/contact.html']",None,"['Simon Holland', 'founder(s)', 'https://www.crunchbase.com/organization/hotdoc']","[['Health CareMedicalSaaSSchedulingSoftware'], 'https://www.crunchbase.com/organization/hotdoc']","['Jul 27, 2012', 'https://www.crunchbase.com/organization/hotdoc']","['$367,148 USD', 'https://www.dnb.com/business-directory/company-profiles.swimpower_pty_ltd.9159f77e0d75e155d1c8de0142834bac.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/hotdoc']",None,"['Private', 'https://www.crunchbase.com/organization/hotdoc']",0.75,0.25,0.0,0.0,0.25
Austadiums | Australian Stadiums & Sport | Austadiums,https://www.austadiums.com/,Austadiums provides information on every Australian sports stadium and sporting event  including seating maps  news  photos  stats  attendance figures  tickets and more._Austadiums provides information on every Australian sports stadium and sporting event  including seating maps  news  photos  stats  attendance figures  tickets and more._Austadiums provides information on every Australian sports stadium and sporting event  including seating maps  news  photos  stats  attendance figures  tickets and more.,austadiums,None,"['hello@veromo.com.au', 'https://www.crunchbase.com/organization/veromo']","['+61280033873', 'https://www.crunchbase.com/organization/veromo']","['cbus super stadium accommodation nrl', 'melbourne view cbus super stadium', 'melbourne events', 'melbourne view cbus super stadium accommodation', 'australian sports events', 'panthers stadium', 'panthers stadium accommodation', 'view panthers stadium', 'sports events', 'view panthers stadium accommodation']","['Andy Giles', 'founder(s)', 'https://www.crunchbase.com/organization/veromo']","[['Business DevelopmentInternetSoftware'], 'https://www.crunchbase.com/organization/veromo']","['Mar 1, 2015', 'https://www.crunchbase.com/organization/veromo']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/veromo']",None,"['Private', 'https://www.crunchbase.com/organization/veromo']",0.0,0.0,0.0,0.0,0.0
Gympie Times: Gympie news_ weather_ jobs_ sports and ...,https://www.gympietimes.com.au/,Browse the latest Homepage articles  videos and photos,gympietimes,"['10 Newspaper Place, Maroochydore, QLD 4558', 'https://www.gympietimes.com.au/terms/']","['apn_order_status@fujifilm.com.au', 'https://www.gympietimes.com.au/buy-photos/']","['+61428 040 678', 'https://www.gympietimes.com.au/Use-Our-Content/']","['gympie golf', 'gympie school', 'gympie golf scene', 'gympie region school', 'gympie ladies golf comp', 'gympie times', 'gympie court', 'gympie ladies', 'gympie ladies golf', 'gympie news']","['Sean Senvirtne', 'founder(s)', 'https://www.crunchbase.com/organization/mydeal-com-au']","[['E-CommerceMarketplaceRetailShopping'], 'https://www.crunchbase.com/organization/mydeal-com-au']","['Mar 28, 2011', 'https://www.crunchbase.com/organization/mydeal-com-au']","['$1.90 billion USD', 'https://www.dnb.com/business-directory/company-profiles.gympie_times_pty_ltd.4de7ec5d08e125a765246901911f821f.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/mydeal-com-au']",None,"['Private', 'https://www.crunchbase.com/organization/mydeal-com-au']",0.25,0.25,0.0,0.0,0.125
Jonas Leisure: Home,https://jonasleisure.com.au/,Our innovative software solutions will transform your leisure  fitness or aquatic business  boost your efficiency  and make your life easier.,jonasleisure,"['SE 904 L 9 275 ALFRED ST N NORTH SYDNEY, NEW SOUTH WALES, 2060 Australia', 'https://www.dnb.com/business-directory/company-profiles.gladstone_mrm_%28australia%29_pty_ltd.f8ed866038c6ecaf26252960d647c1bc.html']","['hello@udiosystems.com', 'https://jonasleisure.com.au/udio-makes-a-splash-with-latest-updates/']","['+61(02) 9906 7522', 'https://jonasleisure.com.au/']","['leading leisure industry software provider jonas leisure', 'jonas leisure software', 'jonas leisure customers', 'leading leisure management software company jonas leisure', 'customer service team jonas leisure', 'leisure industry experts jonas leisure', 'jonas leisure software users', 'jonas marketing jonas leisure', 'other key jonas leisure software solutions', 'jonas leisure solution']","[['STEPHEN BATE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.gladstone_mrm_%28australia%29_pty_ltd.f8ed866038c6ecaf26252960d647c1bc.html']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,"['$4.67 million USD', 'https://www.dnb.com/business-directory/company-profiles.gladstone_mrm_%28australia%29_pty_ltd.f8ed866038c6ecaf26252960d647c1bc.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.gladstone_mrm_%28australia%29_pty_ltd.f8ed866038c6ecaf26252960d647c1bc.html']",0.0,0.25,0.0,0.0,0.0625
世界のチーズ輸入専門店 プロ食チーズ工房,https://www.prosyoku.com/,東北一の品揃えの輸入チーズ・輸入食材の専門店、プロ食チーズ工房です、店内には400種類のチーズが販売されており、お手頃なサイズ・リーズナブルな値段でご提供しております。店頭販売の他にネット販売もいたしております。どこよりも安く世界各国のチーズを日本にいながら楽しめるプロ食チーズ工房を宜しくお願いします。,prosyoku,None,"['dev@macrovue.com.au', 'https://www.crunchbase.com/organization/macrovue']","['+61451128089', 'https://www.crunchbase.com/organization/macrovue']","['これはおいしそう」と、思わず唾を飲み込んだものからまずお試しください。', '軽い酸味とやや強めの塩味とクリーミーさのあるチーズなので、軽い赤ワインだと負けてしまいます。コクのあるしっかりしたワインが合います。フルーティな白、コクの赤をどうぞ。', 'しっとりマイルドで滑らかな舌触り。', '。 573円', '。 当店オリジナルセットチーズ', '。 辛口の白やミディアム以上の赤がよろしいと思います', '。 ゴルゴンゾーラ風味', '。 a:9597', '。 伝統的製法のジューシーなレーズン', 'コクの赤が合います。基本的にはブルゴーニュの赤が良いでしょう。']","['Dev Sinha', 'founder(s)', 'https://www.crunchbase.com/organization/macrovue']","[['AccountingBig DataFinanceSmall and Medium Businesses'], 'https://www.crunchbase.com/organization/macrovue']","['Jun 1, 2014', 'https://www.crunchbase.com/organization/macrovue']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/macrovue']",None,"['Private', 'https://www.crunchbase.com/organization/macrovue']",0.0,0.0,0.0,0.0,0.0
GradAustralia: Graduate Jobs_ Programs & Opportunities in ...,https://gradaustralia.com.au/,Australia's leading graduate recruitment specialists. Search for graduate jobs & internships from Australia's top employers & kick start your career.,gradaustralia,"['PO Box 256 , Blackheath, NSW Australia 2785', 'https://gradaustralia.com.au/privacy']","['contact@gradaustralia.com.au', 'https://www.crunchbase.com/organization/gradaustralia']","['+6102) 8004 6993', ['GradAustralia, phone', 'knowledge_panel']]","['other businesses', 'other business positions', 'business clients', 'retail businesses', 'newer team members', 'other team members', 'business experience', 'good people management practices', 'most hr work', 'many large businesses']","[['Grant Robson ', 'Director_Prosple'], 'from linkedin search google']","[['Education'], 'https://www.crunchbase.com/organization/gradaustralia']","['Jan 1, 2015', 'https://www.crunchbase.com/organization/gradaustralia']",None,None,"[' Chippendale, New South Wales, Australia', 'https://www.crunchbase.com/organization/gradaustralia']",None,"['Private', 'https://www.crunchbase.com/organization/gradaustralia']",0.25,0.0,0.0,0.0,0.0625
Fraser Coast Chronicle: Fraser Coast news_ weather_ sports ...,https://www.frasercoastchronicle.com.au/,Browse the latest Homepage articles  videos and photos,frasercoastchronicle,"['009 657 943) of Cnr Mayne Road & Campbell Street, Bowen Hills QLD 4006', 'https://www.frasercoastchronicle.com.au/discoverFCC/']","['carlie.walker@frasercoastchronicle.com.au', 'https://www.frasercoastchronicle.com.au/our-team/']","['+617 5430 1024', 'https://www.frasercoastchronicle.com.au/Use-Our-Content/']","['mr trump', 'auto air swing sleep mode hepa filter', 'fraser coast chronicle samsung ax5500k air purifier', 'ultra-fine dust air flow control', 'air purifier', 'ultra-fine dust filter hepa filter ultra-fine dust removal rate', 'fresh air delivery remote control', 'former president donald trump', 'trusens z1000 air purifier', 'gold coast state high schools']","[['CIARAN DAVIS', 'Chief Executive Officer'], 'https://www.dnb.com/business-directory/company-profiles.the_maryborough_hervey_bay_newspaper_company_pty_ltd.ac10c3235275d4f1d06ee6630fa4f940.html']","[['Digital MediaLifestyleNews'], 'https://www.crunchbase.com/organization/news-com-au']","['Apr 4, 2012', 'https://www.crunchbase.com/organization/news-com-au']","['$1.90 billion USD', 'https://www.dnb.com/business-directory/company-profiles.the_maryborough_hervey_bay_newspaper_company_pty_ltd.ac10c3235275d4f1d06ee6630fa4f940.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/news-com-au']",None,"['Private', 'https://www.crunchbase.com/organization/news-com-au']",0.25,0.25,0.0,0.0,0.125
Hire skilled people & earn extra money today on Airtasker.com,https://www.airtasker.com/,Access thousands of skilled people for your home & office tasks. From furniture assembly to data entry - hire a skilled Airtasker today.,airtasker,"['2 bathroom house"",""location"":""Hope Island QLD 4212 Australia', 'https://www.airtasker.com/cleaning/gold-coast/']","['team@airtasker.com', 'https://www.crunchbase.com/organization/airtasker']","['+61 13 0082 3218', 'https://www.crunchbase.com/organization/airtasker']","['need great airtasker', 'standard airtasker cleaning tasks', 'lease clean clean', 'everyday airtasker cleaning tasks', 'australia clean', 'cleaning full cleaning', 'cleaning jobs', 'lease cleaning task', 'standard airtasker spring cleaning tasks', 'australia great job']","['Jonathan Lui', 'founder(s)', 'https://www.crunchbase.com/organization/airtasker']","[['AppsE-CommerceInternetMarketplaceMobilePeer to PeerWeb Development'], 'https://www.crunchbase.com/organization/airtasker']","['Feb 21, 2012', 'https://www.crunchbase.com/organization/airtasker']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/airtasker']",None,"['Private', 'https://www.crunchbase.com/organization/airtasker']",0.25,0.0,0.0,0.0,0.0625
