search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Dental practice management software in australia or newzealand,Acclaim Australian Dental Practice Management Software for ...,http://acclaim-soft.com/,Low cost Australian Dental Practice Management Software for Patient Billing  Appointments  Charting and much more.,acclaim-soft,"['U 1 18 SALVATOR DR CAMPBELLFIELD, VICTORIA, 3061 Australia', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",None,"['+612 98733300', 'http://www.acclaim-soft.com/features.html']",None,"[['Sally Ann Chacko', 'CEO'], 'https://au.linkedin.com/in/sally-ann-chacko-08a45740']","['Finance and insurance, Education', 'from_classification_model']",None,"['$859,000 USD', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",0.0,0.25,0.0,0.0,0.0625
Software for dentists in australia or newzealand,Welcome to ADAQ,https://www.adaq.com.au/,ADAQ provides a range of resources and information for your oral health. Oral health ... AN ADAQ MEMBER? ADAQ is a membership association for Dentist and Dental students based in Queensland. ... 07 3252 9866 adaq@adaq.com.au ...,adaq,"['22 -28 Hamilton Place, Bowen Hills QLD 4006', 'https://www.adaq.com.au/Web/Legals.aspx']","['accounts@adaq.com.au', 'https://www.adaq.com.au/Web/About_Us/Our_Structure/Leadership_Team.aspx']","['+617 3252 9866', 'https://www.adaq.com.au/']","['adaq events', 'adaq dental mirror', 'adaq', 'adaq training students', 'adaq training', 'adaq member website', 'adaq staff', 'adaq president', 'adaq adaq mentoring program continuing professional development teeth', 'adaq member benefits']","[['Lisa Rusten', 'CEO'], 'https://www.adaq.com.au/Web/About_Us/Our_Structure/Leadership_Team.aspx?WebsiteKey=9ba1f8b9-3ac4-463b-a51a-d085e37f9b48']","['Education, Healthcare', 'from_classification_model']",None,"['$2.72 million USD', 'https://www.dnb.com/business-directory/company-profiles.australian_dental_association_%28queensland_branch%29_union_of_employers.b24b44f4f9be9e5c0b7be152a03095d0.html']",None,None,None,"['Public\xa0Limited\xa0Company Parent', 'https://www.dnb.com/business-directory/company-profiles.australian_dental_association_%28queensland_branch%29_union_of_employers.b24b44f4f9be9e5c0b7be152a03095d0.html']",1.0,0.25,0.375,0.0,0.40625
Dental practice management software in australia or newzealand,NZ Herald - Breaking news_ latest news_ business_ sport and ...,https://www.nzherald.co.nz/,Latest breaking news articles  photos  video  blogs  reviews  analysis  opinion and reader comment from New Zealand and around the World - NZ Herald.,nzherald,"['80 ,000 EVs on New Zealand road by 2023 NZ', 'https://www.nzherald.co.nz/']","['dylan.cleaver@nzherald.co.nz', 'https://www.nzherald.co.nz/sport/news/article.cfm?c_id=4&objectid=12056958']",None,"['new zealand people', 'former new zealand player', 'new zealand rugby', 'new zealand', 'most new zealand people', 'new zealand sport', 'new zealand rugby league', 'new zealand rugby union', 'new zealand herald', 'new zealand travel']","[['Dinesh Singh AMARNATH', ' director'], 'https://opencorporates.com/companies/nz/1870385']","['Manufacturing, Arts, entertainment and recreation', 'from_classification_model']","[' 4 October 2006', 'https://opencorporates.com/companies/nz/1870385']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1870385']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1870385']",0.25,0.0,0.0,0.0,0.0625
Dental practice management software in australia or newzealand,MedicalSearch,https://www.medicalsearch.com.au/,Find the right medical devices and equipment from thousands of trusted Australian suppliers. Used annually by 200000+ healthcare professionals ...,medicalsearch,None,None,"['+613 9768 3756', 'https://www.medicalsearch.com.au/abco-long-folding-walking-rails/p/173039']","['auto | cpap machines', 'cpap machines | respironics dreamstation auto cpap airphysio', 'travel cpap machine | dreamstation', 'dreamstation auto cpap machine', 'tens machine cpap machines | sleepstyle auto package', 'carlton professional cpap machine |', 'medisa cpap machines | respironics', 'sleepstyle auto cpap machine', 'tens machine | 3-in-1', 'tens machine | mh6000']","[['Amanda Patrick ', 'Account Manager_ Yaffa Sailing ..._LinkedIn'], 'from linkedin search google']","['Healthcare, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Software for dentists in australia or newzealand,Bringing education and smiles to children - Colgate® Bright ...,https://www.colgatebsbf.com.au/,About Colgate® Bright Smiles  Bright Futures™. Bringing education and smiles to children in Australia and New Zealand for over 20 years. The Colgate® Bright ...,colgatebsbf,"['Level  5 , 241 Commonwealth Street Surry Hills NSW 2010', 'https://www.colgatebsbf.com.au/orderKit']","['info@onecontact.com.au', 'https://www.colgatebsbf.com.au/orderKit']","['1800 075 685', 'https://www.colgatebsbf.com.au/orderKit']","['personal biographical information', 'health information', 'information', 'such information', 'sensitive information', 'sufficient information', 'bright futures', 'good oral health', 'oral health education', 'good oral hygiene']","[['Rachel Southwood ', 'Brand Manager_Body Wash ...'], 'from linkedin search google']","['Education, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Software for dentists in australia or newzealand,Zeno It,https://www.zenoit.com.au/,From setting up cloud-based solutions to providing comprehensive software integration  Zeno IT offers you the flexibility of offsite management with the security that ...,zenoit,"['404 /118 Christie Street St Leonards NSW 2065', 'https://www.zenoit.com.au/contact-zeno-it/']","['support@zenoit.com.au', 'https://www.zenoit.com.au/contact-zeno-it/']","['1300 559 366', 'https://www.zenoit.com.au/how-to-reduce-cyber-risk-when-working-from-home/']","['it services', 'other business applications', 'it consultant services sydney cloud backup services', 'many businesses', 'windows users', 'other cloud services', 'cloud operated businesses', 'most windows users', 'businesses', 'smaller businesses']","[['Christopher Watson ', 'Group IT Operations Team ..._LinkedIn'], 'from linkedin search google']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.25,0.75,0.0,0.0,0.25
Dental management software in australia or newzealand,Bite Magazine: Home,https://bitemagazine.com.au/,Australia's leading magazine for dental professionals. A monthly magazine  free weekly email newsletter and app for dentists and all practice staff.,bitemagazine,"['PO Box 92 Pyrmont NSW 2009 Australia', 'https://bitemagazine.com.au/contact-us/']","['18523-1649408400-1649613600@bitemagazine.com.au', 'https://bitemagazine.com.au/events/?ical=1']","['+612 9660 6995', 'https://bitemagazine.com.au/advertise/']","['dental practices', 'many dental practices', 'quality dental practices', 'oral health management practices', 'dental patients', 'practice staff', 'good dental health', 'new practices', 'dental practice management company prime practice', 'business practices']","[['Dr Karen Luxford', 'CEO'], 'https://bitemagazine.com.au/dr-karen-luxford-appointed-ceo-racds/']","['IT - Software, Construction', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Dental management software in australia or newzealand,Best Practice Software – An Evolution In Practice Management,https://bpsoftware.net/,Login · Register · Bp Software. previous arrow. next arrow ... Bp VIP.net provides for flexible workflows and device integration. In 2016  Best Practice Software ...,bpsoftware.net,"['PO Box 1911 ,\xa0Bundaberg Queensland 4670 Australia', 'https://bpsoftware.net/locations/']","['help@doctorscontrolpanel.com.au', 'https://bpsoftware.net/partner-doctors-control-panel/']","['+61 7 3223 7700', 'https://bpsoftware.net/contact-us-3/']","['bp premier bp', 'bp team bp', 'bp premier users', 'bp software', 'best practice software users', 'bp allied users', 'bp premier user', 'best practice users', 'many best practice software users', 'messaging software best practice software']","[['Dr Frank Pyefinch', 'CEO'], 'https://bpsoftware.net/leadership/']","['IT - Software, Utilities', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Dental practice management software in australia or newzealand,Cliniko: Allied Health Practice Management Software,https://www.cliniko.com/,Cliniko cloud-based practice management software app for healthcare clinics and allied health professionals helps you manage your schedule  treatment ...,cliniko,"['31 Smart Rd Modbury, SOUTH AUSTRALIA, 5092 Australia', 'https://www.dnb.com/business-directory/company-profiles.pod_fit_adelaide_pty_ltd.344158f5a5b0d997f57f48ca23cf07c2.html']","['info@rehabguru.com', 'https://www.cliniko.com/connected-apps/rehab-guru/']","['+61-872269901', 'https://www.dnb.com/business-directory/company-profiles.pod_fit_adelaide_pty_ltd.344158f5a5b0d997f57f48ca23cf07c2.html']",None,"[['Joel Friedlaender', 'founder'], 'https://www.cliniko.com/blog/practice-tips/what-cliniko-founder-joel-friedlaender-has-learned-about-building-a-team-and-how-it-may-work-for-your-healthcare-business/']","['IT - Software, Education', 'from_classification_model']",None,"['$586,000 USD', 'https://www.dnb.com/business-directory/company-profiles.pod_fit_adelaide_pty_ltd.344158f5a5b0d997f57f48ca23cf07c2.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.pod_fit_adelaide_pty_ltd.344158f5a5b0d997f57f48ca23cf07c2.html']",0.0,0.0,0.0,0.0,0.0
Dental office management software in australia or newzealand,Provet - Australasia's Leading Veterinary Distributor,http://www.provet.com.au/,AU English (New Zealand) NZ. Home; About Provet. Message from the MD · Industry Investment · Careers · Products · Covetrus Brand · KRUUSE · Anaesthetic ...,provet,"['21-25 Interchange Dr Eastern Creek, NEW SOUTH WALES, 2766 Australia', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",None,"['+6102) 8867 5144', ['Provet New South Wales, phone', 'knowledge_panel']]","['kruuse rehab hock protector kruuse rehab knee protector', 'kruuse small animal provet classifieds', 'kruuse catalogue rehab protectors', 'kruuse rehab protectors', 'provet connect buster premium dog collar', 'rehab elbow protector provet news', 'provet connect', 'small animal kruuse rehab carpal', 'buster rehab collars', 'kruuse']","[['David Hinton', 'Managing_Director'], 'http://www.provet.com.au/en-au/aboutprovet/messagefromthemd.aspx']","['Healthcare, Transport', 'from_classification_model']","['28 February 1990', 'https://opencorporates.com/companies/au/003946941']","['$296.58 million USD', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",None,"['Australia', 'https://opencorporates.com/companies/au/003946941']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",0.0,0.0,0.75,0.0,0.1875
Software for dental laboratory in australia or newzealand,Pacific Dental Specialties : Digital Dental Solutions,https://pacificspecialties.com.au/,Implant & digital dental solutions to Australia & New Zealand. Scanners  Mills  3D Printers & Software for Dentists  Orthodontists  Prosthodontists  Dental ...,pacificspecialties,"['26 BEST AVENUE MOSMAN, NEW SOUTH WALES, 2088 Australia', 'https://www.dnb.com/business-directory/company-profiles.cw_pacific_specialties_pty_limited.6d74d3d358e87838f24ad11c9c03740b.html']",None,"['1800 725 245', 'https://pacificspecialties.com.au/brand/dg-shape-roland/']","['module sku', 'sku', 'denture module sku', 'tip sku', 'ortho sku', 'chairside sku', 'exoplan sku', 'trusmile module sku', 'practitioners sku', '1l sku']","[['Hyll Coraj ', 'Director_Pacific Dental Specialties'], 'None']","['Healthcare, Manufacturing', 'from_classification_model']","['17 April 2009', 'https://opencorporates.com/companies/nz/2226817']","['$1.91 million USD', 'https://www.dnb.com/business-directory/company-profiles.cw_pacific_specialties_pty_limited.6d74d3d358e87838f24ad11c9c03740b.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/2226817']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.cw_pacific_specialties_pty_limited.6d74d3d358e87838f24ad11c9c03740b.html']",0.0,0.25,0.25,0.0,0.125
Dental management software in australia or newzealand,TechRadar | The source for tech buying advice,https://www.techradar.com/,The latest technology news and reviews  covering computing  home entertainment systems  gadgets and more.,techradar,None,"['paul.marttila@futurenet.com', 'https://www.techradar.com/au/how-to/advertise-with-us']","['+61 414 996 995', 'https://www.techradar.com/au/how-to/advertise-with-us']","['best games', 'new games', 'best new feature', 'best camera', 'new cameras', 'best ps4 pro games', 'best xbox games', 'best indie games', 'best camera phones', 'more games']","[['Jason Lee ', 'Regional Marketing Manager A/NZ ..._LinkedIn'], 'from linkedin search google']","['Manufacturing, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Dental practice management software in australia or newzealand,Home - Henry Schein Australian dental products_ supplies and ...,https://henryschein.com.au/,... dentist supplies  Australia can always rely on Henry Schein for everything dental. ... As we move into the future  you can rely on us to continue bringing you the ...,go.henryschein,"['474 ,  Belmont, WA 6984', 'https://henryschein.com.au/contact?contactType=productenquiry']","['rtho@henryschein.com.au', 'https://henryschein.com.au/contact?contactType=productenquiry']","['1800 30 80 30', 'https://henryschein.com.au/contact?contactType=productenquiry']","['henry schein', 'henry schein halas', 'july henry schein', 'henry schein halas melbourne', 'henry schein halas equipment solutions', 'henry schein cares foundation', 'henry schein halas melbourne branch', 'henry schein halas equipment solutions listed', 'vertical soft tissue thickness', 'wellbeing henry schein contact details']",None,"['Healthcare, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Software for dentists in australia or newzealand,Australian Society of Special Care in Dentistry,https://www.asscid.org.au/,Welcome to ASSCID. The Australian Society of Special Care in Dentistry. Welcome to ASSCID. The Australian Society of Special Care in Dentistry ...,asscid,"['Suite  1 , 1 Smith Street Fitzroy VIC 3065', 'https://www.asscid.org.au/_legal/privacy']","['admin@asscid.org.au', 'https://www.asscid.org.au/eventdetails/7507/webinar-infection-control-in-out-of-office-settings-covid-19-changes']","['+613 9895 4452', 'https://www.asscid.org.au/contact/']","['such information', 'personal information', 'information', 'promotional information', 'more information', 'correct personal information', 'users', 'individual users', 'user behaviour', 'dentistry staff members']","[['Victoria Robinson ', 'Chief Executive Officer ..._LinkedIn'], 'from linkedin search google']","['Healthcare, IT - Software', 'from_classification_model']",None,"['$122,200 USD', 'https://www.dnb.com/business-directory/company-profiles.australian_society_of_special_care_in_dentistry_incorporated.3fb53530872e9fe563c21a9da57d213a.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.australian_society_of_special_care_in_dentistry_incorporated.3fb53530872e9fe563c21a9da57d213a.html']",0.25,0.25,0.0,0.0,0.125
Software for dentists in australia or newzealand,Dental Axess - Your CAD/CAM partner in digital dentistry,https://dentalaxess.com/,At Dental Axess we are specialists in digital dentistry and from experience we know what it takes to bring it all together.,dentalaxess,"['Unit  3 .6, 56 Delhi Road, North Ryde NSW 2113 Australia', 'https://academy.dentalaxess.com/']","['info.switzerland@dentalaxess.com', 'https://dentalaxess.com/fr/news-events/']","['+61 (02) 9125 4900', 'https://webshop.dentalaxess.com/switzerland/']","['à l’aide de la stéréolithographie de bureau', 'et de ponts', 'les outils de communication de', 'professionnels de la dentisterie de nouvelles', 'drucker technologie de système de', 'bietet die dental axess academy', 'et des technologies de pointe', 'de laboratoire ou de clinique', 'économisez du temps et de', '3d drucker technologie de système de']","[['Belinda Muggleton ', 'Director and Co_Founder ...'], 'None']","['Healthcare, Services - professional, scientific, and technical', 'from_classification_model']","['17 September 2015', 'https://opencorporates.com/companies/au/608281849']","['$8.65 million USD', 'https://www.dnb.com/business-directory/company-profiles.dental_axess_pty_ltd.952f99b295d5ebedae0f40e6d3422d14.html']",None,"['Australia', 'https://opencorporates.com/companies/au/608281849']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.dental_axess_pty_ltd.952f99b295d5ebedae0f40e6d3422d14.html']",0.625,0.25,0.75,0.0,0.40625
Dental practice management system in australia or newzealand,Gunz eStore – Gunz eStore,https://www.gunz.com.au/,All of your favourite Gunz Dental products available to order 24/7. Learn more. Promotions. Don't miss out on special bonus offers and regular ...,gunz,"['U 4 26-34 Dunning Ave Rosebery, NEW SOUTH WALES, 2018 Australia', 'https://www.dnb.com/business-directory/company-profiles.gunz_dental_pty_ltd.17bcc2b1067de3c4b45542e735366551.html']","['dentalsales@gunz.com.au', 'https://www.gunz.com.au/returns-policy/']","['1800 025 300', ['Gunz Dental Pty Ltd, phone', 'knowledge_panel']]","['gunz dental', 'gunz dental customer service', 'gunz dental pty ltd', 'wsl gunz dental estore aquaclave', 'gunz dental account holders', 'dental products', 'leading dental products', 'dental professionals', 'gunz', 'new products']","[['Samuel Martin ', 'Brand Manager_Gunz Dental'], 'None']","['Services - professional, scientific, and technical, Utilities', 'from_classification_model']","[' 3 March 2006', 'https://opencorporates.com/companies/nz/1779232']","['$26.92 million USD', 'https://www.dnb.com/business-directory/company-profiles.gunz_dental_pty_ltd.17bcc2b1067de3c4b45542e735366551.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1779232']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.gunz_dental_pty_ltd.17bcc2b1067de3c4b45542e735366551.html']",0.375,0.375,0.25,0.0,0.25
