title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Industrialized | CLK Architects,https://cleverteck.com/,CLK Architects is a new way of understanding architecture. Our goal is to adopt new solutions for architecture in an industrialized way.,cleverteck,None,None,None,None,"[['Mónica Román ', 'Arquitecto_Juncos Redondo ...'], 'from linkedin search google']","['Manufacturing, Finance and insurance', 'from_classification_model']","['13 August 2020', 'https://opencorporates.com/companies/nz/8085156']","['$3.2M', 'None']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/8085156']","['77', 'None']","['NZ Limited Company', 'https://opencorporates.com/companies/nz/8085156']",0.0,0.0,0.0,0.0,0.0
eSchool International Student Management Software,https://www.eschool.co.nz/,"eSchool Helps Manage Your International Student Programme. It fully 
Automates The Entire Process From Web Enrolment & Finance Through To 
Student  Agent & Homestay Management._eSchool Helps Manage Your International Student Programme. It fully Automates The Entire Process From Web Enrolment & Finance Through To Student  Agent & Homestay Management.",eschool,"['PO BOX 2272 TEMPLESTOWE LOWER, VICTORIA, 3107 Australia', 'https://www.dnb.com/business-directory/company-profiles.eschools_on_line_pty_ltd.3914a7f5cf66aa94b2f70afae3707e34.html']","['patrick@eschool.co.nz', 'https://www.eschool.co.nz/privacy-policy']","['+64 9 377 2881', 'https://www.eschool.co.nz/book-a-demo']","['international students', 'international student management beneficial', 'student enrolments', 'international student directors eschool', 'international student directors eschool software', 'dunstan high school eschool', 'creates student', 'student balances', 'eschool', 'eschool features automates homestay payments']","[['Catherine Julia NEWTON', ' director'], 'https://opencorporates.com/companies/nz/7963396']","['IT - Software, Construction', 'from_classification_model']","['29 April 2020', 'https://opencorporates.com/companies/nz/7963396']","['$244,539 USD', 'https://www.dnb.com/business-directory/company-profiles.eschools_on_line_pty_ltd.3914a7f5cf66aa94b2f70afae3707e34.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/7963396']",None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.eschools_on_line_pty_ltd.3914a7f5cf66aa94b2f70afae3707e34.html']",0.0,0.25,0.0,0.0,0.0625
Relief Teaching Tips_ Resources_ Support and Online Courses,https://www.reliefteaching.com/,Improve your Relief Teaching experience with quality resources and support. Support is one click away. Free Resources  Teaching Tips  Online Courses._Improve your Relief Teaching experience with quality resources and support. Support is one click away. Free Resources  Teaching Tips  Online Courses._,reliefteaching,None,"['radmin@bobbrandis.com', 'https://www.reliefteaching.com/legals/']",None,"['relief teaching classrooms', 'other relief teachers', 'relief teaching relief teaching problems', 'relief teaching information', 'relief teacher rates', 'relief teaching pay', 'many relief teachers', 'important relief teachers', 'secondary school relief teacher', 'relief teacher pay']",None,"['Education, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
NTT DATA Figtree Systems,https://www.figtreesystems.com/,Specialist global provider of insurance  claims  risk  OHS  and fleet management software solutions.,figtreesystems,"['49 Market Place, Auckland Central, Auckland 1010', 'https://www.figtreesystems.com/contact-us']","['figtree.info@nttdata.com', 'https://www.crunchbase.com/organization/figtree-systems']","['+64 9 352 2077', 'https://www.figtreesystems.com/contact-us']","['figtree systems enterprise risk management software', 'risk management software services', 'many claims management businesses', 'claims management solutions', 'risk management processes', 'claims management software package', 'figtree systems workers compensation claims management software', 'figtree systems whs software', 'incident management system', 'claims management']","[['Mabel Chan ', 'CPA Australia_Sydney_ Australia'], 'from linkedin search google']","[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/figtree-systems']","['1983', 'https://www.crunchbase.com/organization/figtree-systems']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/figtree-systems']",None,"['Private', 'https://www.crunchbase.com/organization/figtree-systems']",0.25,0.25,0.0,0.0,0.125
Enjoy free comfortable tools to publish_ exchange_ and share ...,https://educationdocbox.com/,,educationdocbox,"['SUITE  1 , REDFERN ST., REDFERN, NSW 2016', 'https://educationdocbox.com/College_Life/65534964-Boarding-resident-girls-boarding.html']","['diplomaticacademytt@gmail.com', 'https://educationdocbox.com/Studying_Business/65622927-Global-business-ica-s-first-official-fair-to-promote-co-operative-business-october-23-24-and-25-2008-lisbon-portugal-from1pmto8pm.html']","['+645201705763', 'https://educationdocbox.com/Homework_and_Study_Tips/129298201-Editorial-editorial-new-issi-website.html']",None,None,"['Education, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Softlink,https://www.softlinkint.com/,Softlink provides library  education and knowledge management solutions for schools  government and corporate information centres. ,softlinkint,"['EIGHT MILE PLAINS4113QueenslandAustralia', 'https://opencorporates.com/companies/au/010822143']","['support@softlinkint.com', 'https://www.softlinkint.com/contact/']","['+61 7 3124 6111', 'https://www.softlinkint.com/contact/']",None,None,"['Mining, oil and gas, IT - Software', 'from_classification_model']","['10 June 1988', 'https://opencorporates.com/companies/au/010822143']",None,None,"['Australia', 'https://opencorporates.com/companies/au/010822143']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/010822143']",0.0,0.25,0.0,0.0,0.0625
RIC Publications: Educational Resources - Classroom Supplies,https://www.ricpublications.co.nz/,,ricpublications,"['5 Bendsten Pl, Balcatta WA 6021', ['R.I.C. Publications Pty Ltd, address', 'knowledge_panel']]",None,"['+643 356 1775', 'https://www.facebook.com/ricpublicationsnewzealand/']","['teacher resource books', 'primary students', 'fun activities', 'primary school students', 'language activities', 'written activities', 'spelling activities', 'student awareness', 'individual activities', 'lower primary students']","[['JAMES THOMAS MCGUINNESS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.ric_publications_pty_ltd.9f4d3f96f5499c4e01e81bb5317c7962.html']","['Education, Arts, entertainment and recreation', 'from_classification_model']","[' 8 June 2018', 'https://opencorporates.com/companies/nz/6869837']","['$5.70 million USD', 'https://www.dnb.com/business-directory/company-profiles.ric_publications_pty_ltd.9f4d3f96f5499c4e01e81bb5317c7962.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/6869837']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.ric_publications_pty_ltd.9f4d3f96f5499c4e01e81bb5317c7962.html']",0.375,0.25,0.75,0.0,0.34375
Jesi,https://jesi.io/,Journey Management Software | Trip Risk Assessments | SMS Checkin Reminders | SMS Alert Notifications | Mapping | GPS Location Confirmation | Reporting,jesi.io,None,"['cet@strategicanalyticsteam.com', 'https://jesi.io/watch-grey-fleet-webinar/']","['+61 7 4774 7149', 'https://jesi.io/winning-international-awards-for-journey-management/']","['safety risks', 'many safety risks', 'jesi journey management software', 'risks workers', 'travel risk processes', 'business traveling risks', 'travel risk management strategies', 'take jesi', 'safety management', 'jesi management solutions']","[['Joe Hoolahan', 'CEO'], 'https://au.linkedin.com/in/joehoolahan']","['IT - Software, Transport', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Cambridge HOTmaths,https://www.hotmaths.com.au/,,hotmaths,"['477 Williamstown Road, Port Melbourne Victoria 3207', 'https://www.hotmaths.com.au/home/registerPortal']","['digitalsupportau@cambridge.edu.au', 'https://www.hotmaths.com.au/home/registerPortal']","['+61 3 8671 1421', 'https://www.hotmaths.com.au/home/registerPortal']","['cambridge university press', 'cambridge hotmaths terms', 'cambridge university', 'students cambridge hotmaths', 'cambridge university press visit', 'copyright © cambridge university press', 'digitalsupportau@cambridge.edu.au cambridge hotmaths', 'cambridge hotmaths games', 'cambridge hotmaths collection', 'cambridge']","[[""Mark O'Neil"", 'CEO'], 'https://au.linkedin.com/in/oneilmark']","['Education, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.75,0.0,0.3125
Diverseco | Measurement & Automation Solutions,https://diverseco.com.au/,"Diverseco is one of Australasia’s leading measurement and automation solutions providers to organisations in a broad range of industries._Diverseco is one of Australasia’s leading measurement and automation solutions providers to organisations in a broad range of industries._About Us
Our Capabilities
Discover More    
Providing superior value through our problem-solving expertise and innovative technologies.
Originally evolving from the industrial weighing sector  Diverseco has built on its capabilities to become one of Australasia’s leading measurement and automation solutions providers to organisations in a broad",diverseco,"['12 Kembla Way Willetton, WESTERN AUSTRALIA, 6155 Australia', 'https://www.dnb.com/business-directory/company-profiles.diverseco_pty_ltd.8d2fc46363aee8ee5728c8aa0df1c213.html']",None,"['+64 9 9519685', 'https://diverseco.com.au/branches/']","['product inspection systems', 'many product packaging lines', 'system systems integrator', 'x-ray product inspection systems', 'product inspection equipment', 'sophisticated product identification systems', 'packaging systems', 'automated packaging systems', 'food products', 'bulk packaging system']","[['CEO Brenton Cunningham', 'CEO'], 'https://diverseco.com.au/news/diverseco-ceo-brenton-cunningham-talks-about-the-australian-institute-of-company-directors-course/']","['Manufacturing, IT - Software', 'from_classification_model']","['17 April 1998', 'https://opencorporates.com/companies/au/082334156']","['$39.57 million USD', 'https://www.dnb.com/business-directory/company-profiles.diverseco_pty_ltd.8d2fc46363aee8ee5728c8aa0df1c213.html']",None,"['Australia', 'https://opencorporates.com/companies/au/082334156']",None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.diverseco_pty_ltd.8d2fc46363aee8ee5728c8aa0df1c213.html']",0.25,0.25,0.75,0.0,0.3125
Solar Schools,https://www.solarschools.net/,,solarschools.net,"['Level  15 , 110 Mary Street,  Brisbane, Qld Australia 4000', 'https://www.solarschools.net/contact']","['info@solarschools.net', 'https://www.solarschools.net/terms']","['+61 7 3726 1034', 'https://www.solarschools.net/terms']","['energy meters record energy use', 'water energy', 'water solar energy', 'solar energy data', 'solar energy systems', 'solar energy technology', 'solar energy', 'solar thermal energy', 'energy data', 'renewable energy']","[['Rob Breuer', 'CEO'], 'https://au.linkedin.com/in/rob-breuer-090b12152']","['Utilities, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
anzuk.education - Your global partner for education careers,https://www.anzuk.education/,Always providing quality educators since 2004. ,anzuk,"['301 / 83-97 Kippax St Surry Hills NSW 2010 au', 'https://www.anzuk.education/ateam/contact']","['wales@anzuk.education', 'https://www.anzuk.education/ateam/contact']","['+61 3 5201 7956', 'https://www.anzuk.education/ateam/contact']","['school experience', 'special education schools', 'uk schools', 'casual secondary teachers', 'educator spotlight teachers', 'secondary schools', 'school settings', 'special schools', 'special needs schools', 'exceptional teachers']","[['Daniel Mundy', 'CEO'], 'https://anzuk.education/ateam/our-why']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,1.0,0.25,0.0,0.0,0.3125
INX Software | Workforce Management Software | OHS ...,https://www.inxsoftware.com/,INX Software's workplace health  safety  environment  workforce scheduling and quality management solution enables organisations to achieve compliance  ...,inxsoftware,"['Level  2 , 1111 Hay Street, West Perth, Western Australia 6005', 'https://www.inxsoftware.com/about']","['support@inxsoftware.com', 'https://www.crunchbase.com/organization/inx-software']","['+61 (0)7 3303 0165', 'https://www.inxsoftware.com/about']","['inx software safety management', 'inx software people information', 'relevant inx software solutions', 'inx software appoints', 'updates inx software', 'inx software update', 'safety inx', 'inx software service', 'inx software inc.', 'inx software ceo']","[['Basil Lenzo', 'CEO'], 'https://www.zoominfo.com/p/Basil-Lenzo/1492267248']","[['ComputerEnterprise SoftwareLocal BusinessSoftware'], 'https://www.crunchbase.com/organization/inx-software']","['2000', 'https://www.crunchbase.com/organization/inx-software']","['$15.44 million USD', 'https://www.dnb.com/business-directory/company-profiles.inx_software_pty_ltd.f5adc42d1ec826cfebcfe64530186528.html']",None,"[' Perth, Western Australia, Australia', 'https://www.crunchbase.com/organization/inx-software']",None,"['Private', 'https://www.crunchbase.com/organization/inx-software']",1.0,0.25,0.375,0.0,0.40625
Calculators and Education Technology - Australia and New ...,https://education.ti.com/en-au,Calculators and Education Technology,education.ti,"['44 Lakeview Drive, Scoresby, VIC 3179 Australia', 'https://education.ti.com/en-au/select-country/warranty/warranty-info']","['teacher-support@list.ti.com', 'https://education.ti.com/en-au/resources/online-learning-program']","['0800 770 111', 'https://education.ti.com/en-au/customer-support/contact-us']","['van ti te', 'ti connect van', 'van ti zijn', 'versie van de ti connect', 'ti graphing calculators', 'ti innovator', 'ti products', 'ti resources', 'ti connect', 'van ti zijn aangegaan']","[['LAM TI MUIR', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.ti_education_and_training_pty_ltd.252b924d301dfe8f67943b1a2b9c2d48.html']","['IT - Software, Agriculture', 'from_classification_model']","['29 August 2014', 'https://opencorporates.com/companies/nz/5440442']","['$4.45 million USD', 'https://www.dnb.com/business-directory/company-profiles.ti_education_and_training_pty_ltd.252b924d301dfe8f67943b1a2b9c2d48.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5440442']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.ti_education_and_training_pty_ltd.252b924d301dfe8f67943b1a2b9c2d48.html']",0.25,0.25,0.0,0.0,0.125
Home | Australia & New Zealand,https://www.bureauveritas.com.au/,... assure quality  reduce costs  increase productivity and foster a more responsible  sustainable culture. Discover · Bureau Veritas in Australia & New Zealand.,bureauveritas,"['3 /435 Williamstown Road, Port Melbourne VIC 3207', 'https://www.bureauveritas.com.au/footer/legal-notice']","['daniel.caeiro@bureauveritas.com', 'https://www.bureauveritas.com.au/marine-offshore-services']","['+61 (0) 3 9922 0700', 'https://www.bureauveritas.com.au/contact-us-about-health-safety-environment-services']","['bureau veritas australia', 'bureau veritas certification', 'bureau veritas website', 'bureau veritas global', 'bureau veritas employees', 'bureau veritas experts', 'bureau veritas training', 'bureau veritas minerals', 'bureau veritas environmental', 'bureau veritas auditors']","[['Rhys LEWIS ', 'General Manager_I&F Strategic ...'], 'from linkedin search google']","['Utilities, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Employment Office: Classifications,https://applynow.net.au/,,applynow.net.au,"['61 7 3319 6488  Address  265 Coronation Drive, Milton, QLD 4064 Australia', 'https://applynow.net.au/jobs/127069-team-leader-family-violence-sector-development-female-identified']","['info@employmentoffice.com.au', 'http://employmentoffice.com.au/feed/']","['+61 7 3319 6488', 'https://applynow.net.au/classifications?id=29']","['health care services', 'quality care services', 'high quality care services', 'primary health care services', 'care services', 'high quality holistic primary health care services', 'primary health care service delivery', 'comprehensive primary health care services', 'high quality health services', 'holistic primary health care services']","[['Lee Coleman ', 'Recruitment Manager_Kaplan'], 'from linkedin search google']","['Healthcare, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Employsure | Australia's Workplace Relations & WHS Specialists,https://employsure.com.au/,As the leading workplace relations specialists  we empower business employers to manage the risks associated with remaining Fair Work and WHS compliant.,employsure,"['L 6 180 Thomas St Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.employsure_pty_ltd.bf93484de54b1063639a0c848721e367.html']",None,"['1300 207 182', 'https://employsure.com.au/pro-bono-program/']","['small business employees', 'dynamic business employees', 'employees', 'time employees', 'employee relations', 'client employees', 'many employees', 'new employees', 'employee entitlement', 'employee meetings']","[['Edward Mallett', 'Managing_Director'], 'https://employsure.com.au/edward-mallett-and-employsure/']","['Education, Finance and insurance', 'from_classification_model']","[' 9 August 2010', 'https://opencorporates.com/companies/au/145676026']","['$109.86 million USD', 'https://www.dnb.com/business-directory/company-profiles.employsure_pty_ltd.bf93484de54b1063639a0c848721e367.html']",None,"['Australia', 'https://opencorporates.com/companies/au/145676026']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.employsure_pty_ltd.bf93484de54b1063639a0c848721e367.html']",0.5,0.25,0.75,0.0,0.375
