search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Home care software in australia or newzealand,Vocera: Home,https://www.vocera.com/,Vocera offers the leading platform for communication and workflow optimization. We simplify and improve the lives of healthcare professionals and patients  ...,vocera,"['371 Macarthur Avenue Hamilton QLD 4007 Australia', 'https://www.vocera.com/about-us/locations']","['support@vocera.com', 'https://www.vocera.com/product/collaboration-suite']","['+64 2019-06-21', 'https://www.vocera.com/uk/sitemap.xml']","['vocera collaboration suite application vocera', 'vocera communication', 'vocera communications julie iskow vocera', 'vocera systems', 'vocera clinical communication software', 'vocera communication software', 'vocera solution', 'vocera support team members', 'vocera calls', 'vocera services']","[['Brent D. Lang', 'Chairman'], 'https://www.vocera.com/au/about-us/leadership/brent-d-lang']","['Wireless Telecommunications Carriers', 'https://app.avention.com/company/bdef097f-0eec-30cb-b006-993524e8f446#report/company_summary']",None,"['275k', 'https://app.avention.com/company/bdef097f-0eec-30cb-b006-993524e8f446#report/company_summary']",None,None,"['4', 'https://app.avention.com/company/bdef097f-0eec-30cb-b006-993524e8f446#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/bdef097f-0eec-30cb-b006-993524e8f446#report/company_summary']",1.0,0.25,0.0,0.0,0.3125
Infrastructure management software in australia or newzealand,Goldman Sachs,https://www.goldmansachs.com/,The Goldman Sachs Group  Inc. is a leading global investment banking  securities and investment management firm that provides a wide range of financial ...,goldmansachs,"['MELBOURNE3000VictoriaAustralia', 'https://opencorporates.com/companies/au/006797897']","['abuse@gs.com', 'https://www.goldmansachs.com/security/index.html']","['+6102) 9321 8777', ['Goldman Sachs, phone', 'knowledge_panel']]","['goldman sachs goldman sachs', 'goldman sachs goldman sachs named', 'goldman sachs goldman sachs hosts', 'goldman sachs professionals goldman sachs', 'goldman sachs asset management goldman sachs', 'goldman sachs goldman sachs asset management global services', 'goldman sachs transaction banking goldman sachs senior women', 'goldman sachs goldman sachs releases new open source', 'goldman sachs people', 'goldman sachs technology']","[['Simon Rothery', 'CEO'], 'https://malechampionsofchange.com/champions/simon-rothery/']","['Finance and insurance, Real estate', 'from_classification_model']","['25 June 1987', 'https://opencorporates.com/companies/au/006797897']",None,None,"['Australia', 'https://opencorporates.com/companies/au/006797897']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/006797897']",0.0,0.0,0.75,0.0,0.1875
Workplace risk software in australia or newzealand,Donesafe - the # 1 Compliance and Safety Software,https://donesafe.com/,Donesafe will help you comply with regulations  protect people and assets  streamline business processes and foster a culture of environmental  health and ...,donesafe,"['4 /37-69 Union Street Pyrmont NSW Australia', 'https://donesafe.com/contact-us/']","['hello@donesafe.com', 'https://www.crunchbase.com/organization/donesafe']","['1300 137 408', 'https://donesafe.com/partner-and-reseller-agreement/']","['safety management solutions donesafe', 'safety management systems', 'many safety management software systems', 'safety management', 'safety management solutions', 'workplace safety management', 'safety management platform', 'donesafe try donesafe', 'online safety management software company', 'breed safety management software']","[['Matt Browne', 'founder'], 'https://donesafe.com/2018/08/we-are-the-most-innovative-cloud-based-product-awarded-by-aba100/']","[['ComplianceEnterprise SoftwareSaaSSoftware'], 'https://www.crunchbase.com/organization/donesafe']","['2013', 'https://www.crunchbase.com/organization/donesafe']","['5.4M', 'https://app.avention.com/company/318aa46f-4ac3-308d-a21f-f5c0383b9856#report/company_summary']",None,"[' Pyrmont, New South Wales, Australia', 'https://www.crunchbase.com/organization/donesafe']","['6', 'https://app.avention.com/company/318aa46f-4ac3-308d-a21f-f5c0383b9856#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/donesafe']",0.75,0.375,0.5625,0.0,0.421875
Asset management software in australia or newzealand,AMAL Asset Management,http://amal.com.au/,AMAL is the region's only integrated provider of Loan Servicing  Corporate Trust and Agency Services and has over $A16 billion of funds under administration ...,amal,"['Level  9 , 9 Castlereagh Street, Sydney NSW 2000', 'https://www.amal.com.au/contact']",None,"['+61 2 9230 6700', 'https://www.amal.com.au/contact']",None,"[['Brendan Weir', 'Managing_Director'], 'https://au.linkedin.com/in/brendan-weir-5b2b1a4']","['Finance and insurance, Services - professional, scientific, and technical', 'from_classification_model']","['26 April 2016', 'https://opencorporates.com/companies/au/612058796']","['$79,242 USD', 'https://www.dnb.com/business-directory/company-profiles.amal_alaouie.4d7ab567efd374fe35364c0f3875e205.html']",None,"['Australia', 'https://opencorporates.com/companies/au/612058796']",None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.amal_alaouie.4d7ab567efd374fe35364c0f3875e205.html']",0.25,0.25,0.375,0.0,0.21875
Risk management software australia,GetApp,https://www.getapp.com.au/,Review  Compare and Evaluate small business software. GetApp has software offers  SaaS and Cloud Apps  independent evaluations and reviews.,getapp,"['Level 18 40 Mount Street North Sydney NSW 2060 Australia', 'https://www.getapp.com.au/company/contact']",None,None,"['software user reviews', 'software reviews', 'user reviews', 'promys psa software review', 'software vendor products', 'software users', 'submitted user reviews', 'other software solutions', 'software products', 'other information']","[['Clare Bagoly ', 'Sales Director_Employment Hero'], 'from linkedin search google']","['Utilities, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.25,0.0,0.0,0.0,0.0625
Care management software in australia or newzealand,Attaché Software,https://www.theaccessgroup.com.au/,The Access Group ... A leading provider of software to the best and fastest growing mid-market businesses in the UK and now in Australia and New Zealand.,theaccessgroup,"['Level 5, 118 Talavera Road Macquarie Park, NSW 2113', 'https://www.theaccessgroup.com.au/privacy-policy/']","['anz.info@theaccessgroup.com', 'https://www.theaccessgroup.com.au/coronavirus-update/']","['1300 288 224', ['The Access Group, phone', 'knowledge_panel']]","['access attaché payroll software', 'access business software solutions', 'business management software solutions', 'access attaché', 'access attaché payroll', 'business software solutions', 'attaché fixed asset management software', 'business software', 'attaché track key warranty information software', 'attaché products']","[['John Jones', 'CEO'], 'https://www.accessgroup.net.au/profile/management-team/']","['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.75,0.0,0.0,0.25
Risk management software in australia or newzealand,Reinsurance Group of America Home,https://rgare.com/,At RGA  we specialize in providing life and health-related reinsurance and financial solutions to help our clients effectively manage risk and capital.,rgare,"['225 George St, Sydney NSW 2000', ['RGA Reinsurance Company of Australia Limited, address', 'knowledge_panel']]","['publications@rgare.com', 'https://www.rgare.com/knowledge-center/media/research/selling-life-insurance-successfully-to-the-hnwi-market']","['+6102) 8264 5800', ['RGA Reinsurance Company of Australia Limited, phone', 'knowledge_panel']]","['new life insurance product', 'life insurance products', 'health insurance products', 'life insurance customers', 'new insurance product', 'life insurance product development', 'innovative life insurance products', 'local life insurance products', 'diverse life insurance products', 'insurance products']","[['Richard Krajewski ', 'VP Global Acquisitions (US ..._LinkedIn'], 'from linkedin search google']","['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Regulatory compliance software in australia or newzealand,Grunbiotics,http://www.grunbiotics.com/,Grünbiotics is an Australian biotechnology company that develops Medical Nutrition products that improve the quality of life for people with chronic diseases and ...,grunbiotics,"['2 ,  525 Collins Street "",""addressLine2"":""Melbourne VIC 3000', 'http://www.grunbiotics.com/about-grunbiotics']","['info@grunbiotics.com', 'https://www.crunchbase.com/organization/grunbiotics']","['+61-386920006', 'https://www.dnb.com/business-directory/company-profiles.vitzkai_pty_ltd.c123d96c6bf9179b18eb793c3d2504e3.html']","['medical food products', 'beneficial medical food products', 'grünbiotics products', 'quality medical nutrition products', 'special medical purpose products', 'medical nutrition products', 'medical nutrition market research', 'medical food', 'medical foods grünbiotics', 'various medical foods markets']","[['Jamie Hughes', 'founder'], 'http://www.grunbiotics.com/history']","[['BiotechnologyNutritionPharmaceutical'], 'https://www.crunchbase.com/organization/grunbiotics']","['Jan 1, 2011', 'https://www.crunchbase.com/organization/grunbiotics']","['3.1M', 'https://app.avention.com/company/41afc9a4-0957-3d6a-9a5a-362a69affe92#report/company_summary']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/grunbiotics']","['300', 'https://app.avention.com/company/41afc9a4-0957-3d6a-9a5a-362a69affe92#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/grunbiotics']",0.4375,0.25,0.5,0.0,0.296875
Incident response software in australia or newzealand,Cybernetic-GI Cyber Security Consulting Service | PCI DSS ...,https://cyberneticgi.com/,Cybernetic GI (Cyber Security) is an accredited PCI DSS QSA Company and experts in Cyber Security Consulting service across Australia  Newzealand  ...,cyberneticgi,"['Level  34 , 1 Eagle Street (Waterfront Place), Brisbane, QLD 4000 Australia', 'https://cyberneticgi.com/terms/']","['contact@cybernetic-gi.com', 'https://cyberneticgi.com/terms/']","['1300 292 376', ['Cybernetic GI, phone', 'knowledge_panel']]","['data security breaches', 'massive information security attacks', 'data security', 'information security incidents', 'information security response', 'information security policy', 'information security capability', 'cyber security threats', 'information security control weaknesses', 'security threat']","[['Ravin Prasad ', 'Managing Director Global Market ..._LinkedIn'], 'from linkedin search google']","['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,1.0,0.75,0.0,0.0,0.4375
Regulatory compliance software in australia or newzealand,FoodLegal | Experts in Australian Food Law,https://foodlegal.com.au/,FoodLegal offer consulting services covering regulatory issues such as Country ... We advise Australia's largest food companies  international brands  as well as ...,foodlegal,"['L1 Se 1 615 Dandenong Rd Armadale, Victoria, 3143 Australia', 'https://app.avention.com/company/11a54c66-dfca-3183-9443-52f877d9e9fc#report/company_summary']","['joe@foodlegal.com.au', 'https://foodlegal.com.au/inhouse/document/663?category=13']","['+613 9606 0022', 'https://foodlegal.com.au/inhouse/privacy_policy']","['food products', 'food product marketing', 'certain food products', 'food product suppliers', 'most food products', 'food product formulations', 'food compliance', 'such foods', 'trending food product claims', 'regulatory food product integrity']","[['Joe Lederman ', 'FoodLegal_LinkedIn'], 'None']","['Legal Services', 'https://app.avention.com/company/11a54c66-dfca-3183-9443-52f877d9e9fc#report/company_summary']",None,"['632k', 'https://app.avention.com/company/11a54c66-dfca-3183-9443-52f877d9e9fc#report/company_summary']",None,None,"['9', 'https://app.avention.com/company/11a54c66-dfca-3183-9443-52f877d9e9fc#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/11a54c66-dfca-3183-9443-52f877d9e9fc#report/company_summary']",0.25,0.25,0.5,0.0,0.25
Incident management software australia or newzealand,Datacom: Home,https://www.datacom.co.nz/,Datacom designs  builds and runs IT systems and process for business.,datacom,"['Level  11 , 66 St Georges Terrace Perth, WA 6000', 'https://www.datacom.co.nz/Contact/Perth.aspx']","['info@datacom.com.au', 'https://www.crunchbase.com/organization/datacom']","['+64 9 303 1480', 'https://www.datacom.co.nz/Special-Pages/Contact-Us-Form.aspx?cid=2992&ref=2990']","['datacom services', 'datacom customers', 'ko datacom te', 'datacom support technology', 'datacom partners', 'datacom employees', 'customer satisfaction datacom partners', 'datacom group', 'new chair datacom', 'datacom queensland']","[['Gregory Lance Davidson', 'Director'], 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","[['AppsInformation Technology'], 'https://www.crunchbase.com/organization/datacom']","['1965', 'https://www.crunchbase.com/organization/datacom']","['716M', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']",None,"[' Wellington, Wellington, New Zealand', 'https://www.crunchbase.com/organization/datacom']","['4.6k', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/datacom']",0.25,0.25,0.0,0.0,0.125
Home care software in australia or newzealand,Accenture,https://www.accenture.com/us-en,Welcome to accenture.com! In order to provide a more relevant experience for you  we use cookies to enable some website functionality. Cookies help us see ...,accenture,"['3 Sussex St Barangaroo, New South Wales, 2000 Australia ', 'https://app.avention.com/company/b4a549f2-a714-3d48-a376-fc5ae2125342#report/company_summary']","['accessibility@accenture.com', 'https://www.accenture.com/us-en/support/accessibility-statement']","['+6102) 9005 5000', ['Accenture, phone', 'knowledge_panel']]","['accenture security north america accenture', 'accenture aws business group', 'accenture organization data', 'accenture teams', 'lead accenture', 'work accenture', 'sap accenture', 'accenture cloud experts', 'accenture applications', 'accenture sites']","[['Robert Easton', 'Managing_Director'], 'https://www.arnnet.com.au/article/606405/robert-easton-steps-up-lead-accenture-nz/']","['Computer System Design Services', 'https://app.avention.com/company/b4a549f2-a714-3d48-a376-fc5ae2125342#report/company_summary']",None,"['1.5B', 'https://app.avention.com/company/b4a549f2-a714-3d48-a376-fc5ae2125342#report/company_summary']",None,None,"['5.1k', 'https://app.avention.com/company/b4a549f2-a714-3d48-a376-fc5ae2125342#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/b4a549f2-a714-3d48-a376-fc5ae2125342#report/company_summary']",0.0,0.0,0.375,0.0,0.09375
Software for dental laboratory in australia or newzealand,ResearchCareer: Research Jobs_ News_ Events and Education,http://www.researchcareer.com.au/,Find Jobs  Events  Education and News for Clinical Research  Biotechnical and Senior Research Management Professionals in Australia and New Zealand.,researchcareer,"['Unit  18 , 347 Bay Road Cheltenham Victoria 3192 Australia', 'http://www.researchcareer.com.au/jobs/620-university-of-western-sydney/70244']","['jobs@aifs.gov.au', 'http://www.researchcareer.com.au/jobs/8341-australian-institute-of-family-studies/70100']","['+64708108749', 'http://www.researchcareer.com.au/archived-news/university-of-adelaide-sets-up-50m-agriculture-endowment-fund']","['new research', 'new research projects', 'new research fellows', 'research projects', 'research development', 'research', 'research australia', 'cancer research projects', 'cancer research', 'research collaborations']",None,"['Education, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Care management software in australia or newzealand,Sage,https://www.sage.com/,Sage Group. Choose your country or region. Australia · België · Botswana · Brasil · Canada · Deutschland · Dubai · España · France · Hong Kong · India ...,sage,"['L 11 Zenith Tower B 821 Pacific Hwy Chatswood, New South Wales, 2067 Australia', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['sales@sagetechnology.com.au', 'https://www.crunchbase.com/organization/sage-technology']","['+61-298844000', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['de planos de', 'de injeção de', 'de indicadores de', 'de sage', 'de sécurisation et d’optimisation de gestion de trésorerie', 'de la gestion de la', 'de medidas de eficiência', 'serviços de injeção de', 'de tomada de decisão', 'bénéficiez de services de']","[['John Maley ', 'Asia Pacific People Director_Sage'], 'None']","[['ConstructionProductivity ToolsSoftware'], 'https://www.crunchbase.com/organization/sage-technology']","['1990', 'https://www.crunchbase.com/organization/sage-technology']","['72M', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']",None,"[' Morwell, Victoria, Australia', 'https://www.crunchbase.com/organization/sage-technology']","['327', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/sage-technology']",0.0,0.0,0.25,0.0,0.0625
Risk management software australia,AvePoint: Manage_ Migrate_ & Protect Your SharePoint ...,https://www.avepoint.com/,Join the millions who trust AvePoint- a four-time Microsoft Partner of the Year- for the migration  management  and protection of their data and IT infrastructure.,avepoint,"['L 11 459 Collins St Melbourne, Victoria, 3000 Australia', 'https://app.avention.com/company/cd4c4a2c-ee74-3e04-8da9-3051061e05c0#report/company_summary']","['accessibility@avepoint.com', 'https://www.avepoint.com/de/company/accessibility-statement']","['+61 3 9005 8484', 'https://www.avepoint.com/about/contact']","['avepoint avepoint', 'avepoint services avepoint', 'avepoint microsoft', 'avepoint microsoft teams', 'avepoint sites', 'other avepoint services', 'avepoint solutions', 'avepoint protection de', 'avepoint cloud migration', 'avepoint products']","[['Ihre Anlaufstelle', 'director'], 'from_website']","['Computer Programming', 'https://app.avention.com/company/cd4c4a2c-ee74-3e04-8da9-3051061e05c0#report/company_summary']",None,"['2.7M', 'https://app.avention.com/company/cd4c4a2c-ee74-3e04-8da9-3051061e05c0#report/company_summary']",None,None,"['5', 'https://app.avention.com/company/cd4c4a2c-ee74-3e04-8da9-3051061e05c0#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/cd4c4a2c-ee74-3e04-8da9-3051061e05c0#report/company_summary']",0.75,0.25,0.25,0.0,0.3125
